Timestep	VariableName	EntityIdx	Value	Notes
0	percentageUnhappy		100.0	
288	percentageUnhappy		96.4	
576	percentageUnhappy		92.4	
864	percentageUnhappy		87.6	
1152	percentageUnhappy		82.11382113821138	
1440	percentageUnhappy		83.41463414634147	
1728	percentageUnhappy		66.34146341463415	
2016	percentageUnhappy		60.48780487804878	
2304	percentageUnhappy		66.82926829268293	
2592	percentageUnhappy		74.63414634146342	
2880	percentageUnhappy		70.2439024390244	
3168	percentageUnhappy		79.51219512195122	
3456	percentageUnhappy		77.07317073170732	
3744	percentageUnhappy		48.292682926829265	
